ADDRESSNUM,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,SCHEDULED_COMPLETED,INSP_RE_INSP,PASS_FAIL,INSPECTION_DATE,ORIG_INSPECTION_DATE,ORIG_INSPECTION_TIME,RE_INSPECTION_DATE,START_TIME,END_TIME,INSP_ID,STATION,COMPANY,SHIFT,QUARTER,INSPECTION_TYPE,TOTAL_HOURS,TOTAL_MINUTES,INSPECTION_NOTES,ADDNEW_DATE,ADDNEW_ID,UPDATE_DATE,UPDATE_ID
8,1512,W,BRADLEY,AV,S,RE_INSP,,3/28/2016,2/19/2016,,,,,FP0318,FHQ,I5,D,2,,,,,,,3/28/2016,FP0318
8,1512,W,BRADLEY,AV,S,INSP,F,9/13/2016,,,,,,FP0318,FHQ,I5,D,2,SCHEDULED,,,SEE LETTER ON FILE FOR VIOLATIONS,9/14/2016,FP0318,9/14/2016,FP0318
8,1512,W,BRADLEY,AV,C,RE_INSP,P,10/6/2016,9/13/2016,,,,,FP0318,FHQ,I5,D,4,VIOLATION,,,ALL CORECTED,10/18/2016,FP0318,10/18/2016,FP0318
14,3311,N,STERLING,AV,C,INSP,,3/20/2013,,,,,,FP0261,FHQ,I4,D,,YEARLY,,,,6/3/2013,FP0261,6/3/2013,FP0261
14,3311,N,STERLING,AV,S,INSP,,3/20/2014,,,,,,FP0261,FHQ,,,,,,,,,,6/3/2013,FP0261
14,3311,N,STERLING,AV,S,INSP,P,7/17/2014,,,,,,FP0318,FHQ,I5,D,,COMPLAINT,,,FUEL PUMP STATION FIRE ALARMS NOT FUNCTIONING CORRECTLY ALL FINALLY REPAIRED,7/28/2014,FP0318,7/28/2014,FP0318
14,3311,N,STERLING,AV,S,INSP,,7/17/2015,,,,,,FP0318,FHQ,,,,,,,,,,7/28/2014,FP0318
14,3311,N,STERLING,AV,C,INSP,F,2/19/2016,,,,,,FP0357,FHQ,I2,D,1,SCHEDULED,,,,2/22/2016,FP0357,3/4/2016,FP0357
14,3311,N,STERLING,AV,S,INSP,,2/18/2017,,,,,,FP0357,FHQ,I2,D,1,,,,,,,2/22/2016,FP0357
14,3311,N,STERLING,AV,C,RE_INSP,P,3/3/2016,2/19/2016,,,,,FP0357,FHQ,I2,D,1,VIOLATION,,,VIOLATIONS HAVE BEEN CORRECTED.,3/4/2016,FP0357,3/4/2016,FP0357
17,3417,N,UNIVERSITY,ST,C,INSP,N,4/30/2012,,,,,,FP0237,11,R2,1,,SCHEDULED,,,VACANYT BUILDING,4/30/2012,FP0237,4/30/2012,FP0237
17,3417,N,UNIVERSITY,ST,S,INSP,,4/30/2013,,,,,,FP0237,11,R2,1,,,,,,,,4/30/2012,FP0237
18,400,NE,ADAMS,ST,S,INSP,P,6/20/2012,,,,,,FP0063,1,T1,1,,SCHEDULED,,,NO VIOLATIONS. THIS IS A GAS STATION WITH CONVENIENT STORE INCLUDED.,6/20/2012,FP0063,6/20/2012,FP0063
18,400,NE,ADAMS,ST,S,INSP,,6/20/2013,,,,,,FP0063,1,T1,1,,,,,,,,6/20/2012,FP0063
18,400,NE,ADAMS,ST,C,RE_INSP,P,7/10/2014,6/19/2014,,,,,FP0265,1,T1,1,,SCHEDULED,,,,7/22/2014,FP0265,7/22/2014,FP0265
18,400,NE,ADAMS,ST,S,INSP,,7/10/2015,,,,,,FP0265,1,T1,1,,,,,,,,7/22/2014,FP0265
35,1424,NE,ADAMS,ST,N,INSP,N,7/26/2011,,,,,,FP0308,12,E12,1,,YEARLY,,,BUILDING HAS BEEN DEMOLISHED AND REMOVED,7/26/2011,FP0308,7/26/2011,FP0308
35,1424,NE,ADAMS,ST,S,INSP,,7/25/2012,,,,,,FP0308,,,,,,,,,,,7/26/2011,FP0308
36,3111,W,RICHWOODS,BL,C,INSP,,8/20/2012,,,,,,FP0346,13,E13,3,,YEARLY,,,NO VIOLATIONS,9/20/2012,FP0346,9/20/2012,FP0346
36,3111,W,RICHWOODS,BL,S,INSP,,8/20/2013,,,,,,FP0346,13,E13,1,,,,,,,,9/20/2012,FP0346
36,3111,W,RICHWOODS,BL,C,INSP,P,5/31/2013,,,,,,FP0276,13,E13,1,,YEARLY,,,,6/3/2013,FP0276,6/3/2013,FP0276
36,3111,W,RICHWOODS,BL,S,INSP,,5/31/2014,,,,,,FP0276,13,E13,1,,,,,,,,6/3/2013,FP0276
36,3111,W,RICHWOODS,BL,C,INSP,P,5/1/2015,,,,,,FP0332,13,E13,2,,YEARLY,,,NO VIOLATIONS,5/1/2015,FP0332,5/7/2015,FP0332
36,3111,W,RICHWOODS,BL,S,INSP,,4/30/2016,,,,,,FP0332,13,E13,2,,,,,,,,5/1/2015,FP0332
36,3111,W,RICHWOODS,BL,C,INSP,P,7/19/2016,,,,,,FP0376,13,E13,3,3,SCHEDULED,,,,9/8/2016,FP0330,9/8/2016,FP0330
36,3111,W,RICHWOODS,BL,S,INSP,,7/19/2017,,,,,,FP0330,13,E-13,3,3,,,,,,,9/8/2016,FP0330
37,3507,N,MOLLECK,DR,S,INSP,,7/27/2011,,,,,,FP0248,13,E13,2,,SCHEDULED,,,ELEC. PANEL AND FACP IN KITCHEN.  NO VIOLATIONS NOTED.,8/2/2011,FP0248,8/2/2011,FP0248
37,3507,N,MOLLECK,DR,S,INSP,,7/26/2012,,,,,,FP0248,13,E13,2,,,,,,,,8/2/2011,FP0248
37,3507,N,MOLLECK,DR,S,INSP,,9/18/2012,,,,,,FP0262,13,E13,1,,SCHEDULED,,,,10/12/2012,FP0262,10/12/2012,FP0262
37,3507,N,MOLLECK,DR,S,INSP,,9/18/2013,,,,,,FP0262,13,E13,1,,,,,,,,10/12/2012,FP0262
37,3507,N,MOLLECK,DR,C,INSP,,6/19/2013,,,,,,FP0248,13,E13,2,,SCHEDULED,,,NO VIOLATIONS FOUND.  SPRINKLER CONTROLS IN BASEMENT  ACCESS AROUND SOUTH SIDE OR CENTER HALLWAY  THROUGH OVERHEAD DOOR.  DRIVEWAYS BOTH SIDES LARGE ENOUGH FOR ENGINE COMPANY ACCESS.,6/25/2013,FP0248,9/26/2013,FP0248
37,3507,N,MOLLECK,DR,S,INSP,,6/19/2014,,,,,,FP0248,13,E13,1,,,,,,,,6/25/2013,FP0248
37,3507,N,MOLLECK,DR,N,INSP,F,7/20/2016,,,,,,FP0337,13,E13,1,3,SCHEDULED,,,SEVERAL EXIT SIGNS NOT LIT AND EMERGENCY LIGHTING NOT WORKING. BRAD WITH MAINTENANCE SAID THEY WERE IN THE PROCESS OF SWITCHING LIGHTING OVER TO LED.  HOOD SYSTEM IN KITCHEN WAS DUE FOR INSPECTION 6/16 AND WAS NOT DONE.,7/20/2016,FP0337,7/20/2016,FP0337
37,3507,N,MOLLECK,DR,S,INSP,,7/20/2017,,,,,,FP0337,13,E13,1,3,,,,,,,7/20/2016,FP0337
37,3507,N,MOLLECK,DR,S,RE_INSP,,8/10/2016,7/20/2016,,,,,FP0337,13,E13,1,3,,,,,,,7/20/2016,FP0337
37,3507,N,MOLLECK,DR,C,RE_INSP,P,8/16/2016,7/20/2016,,,,,FP0337,13,E13,1,3,VIOLATION,,,,8/16/2016,FP0337,8/16/2016,FP0337
37,3507,N,MOLLECK,DR,S,INSP,,8/16/2017,,,,,,FP0337,13,E13,1,3,,,,,,,8/16/2016,FP0337
51,2321,N,WISCONSIN,AV,C,INSP,P,10/6/2011,,,,,,FP0268,10,E10,1,3,YEARLY,,,TWO SMALL O2 TANKS  NITROUS TANKS  SYMPLEX ALARM  FIRE DEPARTMENT CONNECTION ON THE C-SIDE OF THE B/C CORNER OF THE BUILDING,10/6/2011,FP0268,10/6/2011,FP0268
51,2321,N,WISCONSIN,AV,S,INSP,,10/5/2012,,,,,,FP0268,10,E10,1,3,,,,,,,10/6/2011,FP0268
51,2321,N,WISCONSIN,AV,C,INSP,P,7/13/2012,,,,9:00,9:10,FP0341,10,E10,3,3,SCHEDULED,0,10,,7/13/2012,FP0341,7/13/2012,FP0341
51,2321,N,WISCONSIN,AV,S,INSP,,7/13/2013,,,,,,FP0341,10,E10,1,3,,,,,,,7/13/2012,FP0341
68,1605,W,CANDLETREE,DR,S,INSP,N,6/24/2011,,,,,,FP0296,15,E15,2,,SCHEDULED,,,BUSINESS MOVED/ NO BUSINESS THERE TO INSPECT,7/18/2011,FP0296,7/25/2011,FP0315
68,1605,W,CANDLETREE,DR,S,INSP,,6/23/2012,,,,,,FP0296,,,,,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,RE_INSP,,6/23/2012,6/24/2011,,,,,FP0296,15,E15,2,,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,INSP,N,6/24/2011,,,,,,FP0296,15,E15,2,,,,,NO VIOLATIONS.,7/18/2011,FP0296,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,INSP,,6/23/2012,,,,,,FP0296,,,,,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,INSP,,6/23/2012,,,,,,FP0296,,,,,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,RE_INSP,,6/23/2012,6/24/2011,,,,,FP0296,15,E15,2,,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,INSP,N,6/24/2011,,,,,,FP0296,15,E15,2,3,EXISTING,,,,7/18/2011,FP0296,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,INSP,,6/23/2012,,,,,,FP0296,15,E15,2,3,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,S,RE_INSP,,6/23/2012,6/24/2011,,,,,FP0296,15,E15,2,3,,,,,,,7/18/2011,FP0296
68,1605,W,CANDLETREE,DR,C,INSP,P,8/28/2012,,,,,,FP0234,15,E15,1,3,SCHEDULED,,,,8/28/2012,FP0234,8/28/2012,FP0234
68,1605,W,CANDLETREE,DR,S,INSP,,8/28/2013,,,,,,FP0234,15,E15,1,3,,,,,,,8/28/2012,FP0234
68,1605,W,CANDLETREE,DR,S,INSP,N,7/31/2013,,,,,,FP0213,15,E15,2,3,SCHEDULED,,,NO VIOLATIONS,8/15/2013,FP0213,8/15/2013,FP0213
68,1605,W,CANDLETREE,DR,S,INSP,,7/31/2014,,,,,,FP0213,15,E15,1,3,,,,,,,8/15/2013,FP0213
68,1605,W,CANDLETREE,DR,C,INSP,N,7/31/2013,,,,,,FP0213,15,E15,2,3,SCHEDULED,,,NO VIOLATIONS,9/5/2013,FP0213,9/5/2013,FP0213
68,1605,W,CANDLETREE,DR,S,INSP,,7/31/2014,,,,,,FP0213,15,E15,1,3,,,,,,,9/5/2013,FP0213
68,1605,W,CANDLETREE,DR,S,INSP,N,6/24/2014,,,,,,FP0258,15,E15,3,4,SCHEDULED,,,NO VIOLATIONS NOTED,8/23/2014,FP0258,8/23/2014,FP0258
68,1605,W,CANDLETREE,DR,C,INSP,N,7/30/2015,,,,,,FP0333,15,E15,3,4,SCHEDULED,,,,,,8/5/2015,FP0333
68,1605,W,CANDLETREE,DR,S,RE_INSP,,6/24/2015,6/24/2014,,,,,FP0258,15,E15,3,4,,,,,,,8/23/2014,FP0258
68,1605,W,CANDLETREE,DR,C,INSP,N,7/30/2015,,,,,,FP0333,15,E15,2,3,SCHEDULED,,,,8/5/2015,FP0333,8/5/2015,FP0333
68,1605,W,CANDLETREE,DR,S,INSP,,7/29/2016,,,,,,FP0333,15,E15,2,3,,,,,,,8/5/2015,FP0333
68,1605,W,CANDLETREE,DR,S,INSP,N,9/2/2016,,,,,,FP0251,15,E15,3,3,YEARLY,,,,9/2/2016,FP0251,9/2/2016,FP0251
68,1605,W,CANDLETREE,DR,S,INSP,,9/2/2017,,,,,,FP0251,15,E15,3,3,,,,,,,9/2/2016,FP0251
74,4800,N,UNIVERSITY,ST,S,INSP,F,10/28/2011,,,,,,FP0236,11,R2,2,,SCHEDULED,,,,10/28/2011,FP0236,10/28/2011,FP0236
74,4800,N,UNIVERSITY,ST,S,INSP,,10/27/2012,,,,,,FP0236,11,R2,2,,,,,,,,10/28/2011,FP0236
74,4800,N,UNIVERSITY,ST,S,RE_INSP,,11/18/2011,10/28/2011,,,,,FP0236,11,R2,2,,,,,,,,10/28/2011,FP0236
74,4800,N,UNIVERSITY,ST,N,RE_INSP,F,12/6/2011,10/28/2011,,,,,FP0236,11,R2,2,,VIOLATION,,,,12/6/2011,FP0236,12/6/2011,FP0236
74,4800,N,UNIVERSITY,ST,S,INSP,,12/5/2012,,,,,,FP0236,11,R2,2,,,,,,,,12/6/2011,FP0236
74,4800,N,UNIVERSITY,ST,S,RE_INSP,,12/27/2011,12/6/2011,,,,,FP0236,11,R2,2,,,,,,,,12/6/2011,FP0236
88,915,S,HELEN,ST,S,INSP,P,8/8/2012,,,,11:30,12:00,FP0331,4,E4,2,3,SCHEDULED,0,30,NO VIOLATIONS,8/8/2012,FP0331,8/8/2012,FP0331
88,915,S,HELEN,ST,S,INSP,,8/8/2013,,,,,,FP0331,4,E4,2,3,,,,,,,8/8/2012,FP0331
88,915,S,HELEN,ST,C,INSP,P,6/14/2013,,,,9:30,10:30,FP0341,4,E4,3,2,SCHEDULED,1,0,,6/14/2013,FP0341,6/14/2013,FP0341
88,915,S,HELEN,ST,S,INSP,,6/14/2014,,,,,,FP0341,4,E4,3,2,,,,,,,6/14/2013,FP0341
88,915,S,HELEN,ST,C,INSP,P,9/27/2014,,,,,,FP0240,4,E4,2,2,SCHEDULED,,, NO VIOLATIONS,9/27/2014,FP0348,9/27/2014,FP0348
88,915,S,HELEN,ST,S,INSP,,9/27/2015,,,,,,FP0348,4,E4,2,2,,,,,,,9/27/2014,FP0348
88,915,S,HELEN,ST,C,INSP,P,9/28/2016,,,,,,FP0240,4,E4,2,2,SCHEDULED,,,NO VIOLATIONS,9/28/2016,FP0240,9/28/2016,FP0240
88,915,S,HELEN,ST,S,INSP,,9/28/2017,,,,,,FP0240,4,E4,2,2,,,,,,,9/28/2016,FP0240
95,2101,W,WILLOW KNOLLS,DR,C,INSP,P,9/12/2011,,,,,,FP0234,19,E19,1,,SCHEDULED,,,,9/12/2011,FP0234,9/12/2011,FP0234
95,2101,W,WILLOW KNOLLS,DR,S,INSP,,9/11/2012,,,,,,FP0234,,,,,,,,,,,9/12/2011,FP0234
95,2101,W,WILLOW KNOLLS,DR,S,RE_INSP,,9/11/2012,9/12/2011,,,,,FP0234,19,E19,1,,,,,,,,9/12/2011,FP0234
95,2101,W,WILLOW KNOLLS,DR,S,INSP,P,10/5/2012,,,,,,FP0258,19,E19,3,4,SCHEDULED,,,,10/5/2012,FP0258,10/5/2012,FP0258
95,2101,W,WILLOW KNOLLS,DR,S,INSP,,10/5/2013,,,,,,FP0258,19,E19,3,4,,,,,,,10/5/2012,FP0258
95,2101,W,WILLOW KNOLLS,DR,S,RE_INSP,,10/5/2013,10/5/2012,,,,,FP0258,19,E19,3,4,,,,,,,10/5/2012,FP0258
95,2101,W,WILLOW KNOLLS,DR,C,INSP,P,7/19/2016,,,,,,FP0254,19,E19,3,3,YEARLY,,,,7/22/2016,FP0254,7/22/2016,FP0254
95,2101,W,WILLOW KNOLLS,DR,S,INSP,,7/19/2017,,,,,,FP0254,19,E19,3,3,,,,,,,7/22/2016,FP0254
99,2724,W,RESERVOIR,BL,S,INSP,P,12/13/2011,,,,,,FP0261,FHQ,I6,D,4,YEARLY,,,,12/15/2011,FP0261,12/15/2011,FP0261
99,2724,W,RESERVOIR,BL,S,INSP,,12/12/2012,,,,,,FP0261,FHQ,I4,D,4,,,,,,,12/15/2011,FP0261
99,2724,W,RESERVOIR,BL,C,INSP,P,2/17/2016,,,,,,FP0357,FHQ,I2,D,1,SCHEDULED,,,NO VIOLATIONS.,2/18/2016,FP0357,2/18/2016,FP0357
99,2724,W,RESERVOIR,BL,S,INSP,,2/16/2017,,,,,,FP0357,FHQ,I2,D,1,,,,,,,2/18/2016,FP0357
100,829,W,CRESTWOOD,DR,S,INSP,,1/10/2012,,,,,,FP0261,FHQ,I4,D,1,YEARLY,,,,5/21/2012,FP0261,5/21/2012,FP0261
100,829,W,CRESTWOOD,DR,S,INSP,,1/9/2013,,,,,,FP0261,FHQ,I4,D,1,,,,,,,5/21/2012,FP0261
100,829,W,CRESTWOOD,DR,C,INSP,P,2/14/2013,,,,,,FP0261,FHQ,I4,D,1,SCHEDULED,,,ALL OK,3/25/2013,FP0261,3/25/2013,FP0261
100,829,W,CRESTWOOD,DR,S,INSP,,2/14/2014,,,,,,FP0261,FHQ,I4,D,1,,,,,,,3/25/2013,FP0261
100,829,W,CRESTWOOD,DR,N,INSP,F,6/23/2015,,,,,,FP0261,FHQ,I4,D,1,YEARLY,,,,6/24/2015,FP0261,6/24/2015,FP0261
100,829,W,CRESTWOOD,DR,S,INSP,,6/22/2016,,,,,,FP0261,FHQ,I4,D,1,,,,,,,6/24/2015,FP0261
100,829,W,CRESTWOOD,DR,S,RE_INSP,,7/8/2015,6/23/2015,,,,,FP0261,FHQ,I4,D,1,,,,,,,6/24/2015,FP0261
100,829,W,CRESTWOOD,DR,C,INSP,F,8/25/2016,,,,,,FP0357,FHQ,I2,D,1,SCHEDULED,,,,8/29/2016,FP0357,9/23/2016,FP0357
100,829,W,CRESTWOOD,DR,C,RE_INSP,F,9/15/2016,8/25/2016,,,,,FP0357,FHQ,I2,D,1,VIOLATION,,,,,,9/23/2016,FP0357
100,829,W,CRESTWOOD,DR,C,RE_INSP,P,9/22/2016,9/15/2016,,,,,FP0357,FHQ,I2,D,1,VIOLATION,,,ALL VIOLATIONS HAVE BEEN CORRECTED.,,,9/23/2016,FP0357
107,2601,W,RESERVOIR,BL,S,RE_INSP,,11/29/2011,11/1/2011,,,,,FP0261,FHQ,I4,D,4,,,,,,,11/3/2011,FP0261
107,2601,W,RESERVOIR,BL,S,INSP,,11/1/2011,,,,,,FP0261,FHQ,I6,D,4,SCHEDULED,,,,11/1/2011,FP0261,11/1/2011,FP0261
107,2601,W,RESERVOIR,BL,S,INSP,,10/31/2012,,,,,,FP0261,FHQ,I4,D,4,,,,,,,11/1/2011,FP0261
107,2601,W,RESERVOIR,BL,S,RE_INSP,,11/29/2011,11/1/2011,,,,,FP0261,FHQ,I6,D,4,,,,,,,11/1/2011,FP0261
107,2601,W,RESERVOIR,BL,S,INSP,,11/1/2011,,,,,,FP0261,FHQ,I4,D,4,SCHEDULED,,,,11/1/2011,FP0261,11/3/2011,FP0261
107,2601,W,RESERVOIR,BL,C,INSP,P,11/20/2012,,,,,,FP0261,FHQ,I4,D,4,SCHEDULED,,,ALL OK,,,1/9/2014,FP0261
107,2601,W,RESERVOIR,BL,S,RE_INSP,,11/29/2011,11/1/2011,,,,,FP0261,FHQ,I4,D,4,,,,,,,11/1/2011,FP0261
107,2601,W,RESERVOIR,BL,C,INSP,P,11/22/2013,,,,,,FP0261,FHQ,I4,D,4,YEARLY,,,,1/9/2014,FP0261,1/9/2014,FP0261
107,2601,W,RESERVOIR,BL,S,INSP,,11/22/2014,,,,,,FP0261,FHQ,I4,D,4,,,,,,,1/9/2014,FP0261
107,2601,W,RESERVOIR,BL,C,INSP,F,8/8/2016,,,,,,FP0357,FHQ,I2,D,3,SCHEDULED,,,,8/8/2016,FP0357,10/4/2016,FP0357
107,2601,W,RESERVOIR,BL,C,RE_INSP,F,9/2/2016,8/8/2016,,,,,FP0357,FHQ,I2,D,3,VIOLATION,,,MOST VIOLATIONS ARE CORRECTED. ,,,10/4/2016,FP0357
107,2601,W,RESERVOIR,BL,C,RE_INSP,P,10/4/2016,9/2/2016,,,,,FP0357,FHQ,I2,D,4,VIOLATION,,,ALL VIOLATIONS HAVE BEEN CORRECTED.,,,10/4/2016,FP0357
122,6001,N,FROSTWOOD PKWY,ST,C,INSP,P,10/8/2014,,,,,,FP0261,FHQ,I4,D,3,SPECIAL,,,INSPECTION WITH ROE,11/18/2014,FP0261,11/18/2014,FP0261
122,6001,N,FROSTWOOD PKWY,ST,S,INSP,,10/8/2015,,,,,,FP0261,FHQ,I4,D,3,,,,,,,11/18/2014,FP0261
124,600,W,MAIN,ST,C,INSP,,9/24/2012,,,,,,FP0397,1,E1,1,3,SCHEDULED,,,,10/30/2012,FP0263,10/30/2012,FP0263
124,600,W,MAIN,ST,S,INSP,,9/24/2013,,,,,,FP0263,1,E1,1,3,,,,,,,10/30/2012,FP0263
124,600,W,MAIN,ST,C,INSP,,9/23/2016,,,,,,FP0323,1,E1,3,3,SCHEDULED,,,,9/29/2016,FP0323,9/29/2016,FP0323
124,600,W,MAIN,ST,S,INSP,,9/23/2017,,,,,,FP0323,1,E1,3,3,,,,,,,9/29/2016,FP0323
125,2401,N,GALE,AV,S,INSP,,7/30/2012,,,,,,FP0248,13,E13,2,,SCHEDULED,,,NO VIOLATIONS NOTED,8/8/2012,FP0248,8/8/2012,FP0248
125,2401,N,GALE,AV,S,INSP,,7/30/2013,,,,,,FP0248,13,13,2,,,,,,,,8/8/2012,FP0248
